species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
bremeri,4.113370744,2.860437422,2.365325123,2.147781422,2.852294835,2.755675666,2.515543619,2.66867392,2.604416589,2.170005628,2.543110042,0.353001539,2.427380521,2.231089091,1.891981807,0.233093882,2.090113559,1.815909929,3.472710624,2.970085626,4.119848796,4.736255056
breslini,4.051110808,3.001838592,2.475592575,2.285947452,2.988770597,2.892591515,2.682390454,2.751029866,2.716101039,2.219746815,2.478951453,0.32660226,2.415578901,2.354109611,1.851206928,0.136495745,2.021381987,1.735850275,3.373838187,2.746773314,4.032904561,4.81099317
brevirostris,3.874154977,2.639200177,2.170766518,1.845774058,2.626189175,2.534410845,2.329421747,2.515920703,2.431769551,1.87380018,2.186725207,0.253090628,2.317178095,2.162633133,1.720979287,0.117783036,1.727043155,1.625114392,3.420037072,3.031432628,3.853109086,4.3211417
caudalis,3.911742966,2.692327241,2.167681331,1.85629799,2.651832521,2.562330547,2.359154444,2.477882035,2.44182516,1.867794156,2.144761008,0.185649347,2.329032263,2.173614712,1.698547088,0.027615167,1.754403683,1.618199418,3.366597577,2.943329408,3.91017202,4.3610724
centralis,3.697941213,2.522051303,1.935520226,1.720347708,2.512941352,2.413915986,2.196570769,2.074429,1.989243274,1.518482941,1.878206962,0.00936775,1.959431764,1.717817396,1.330968178,-0.159754588,1.560988867,1.321442065,3.247878501,2.878940075,3.653883981,4.342988776
chamaeleonides,5.04234927,4.128558102,3.425673169,3.543130878,3.962779489,3.905031958,3.705900438,3.413125953,3.167793035,2.710491663,3.148167197,1.368215248,3.300025612,3.094747702,2.791778417,1.300191662,2.909175339,2.630448955,3.796044161,3.519254236,5.048337821,5.037370704
chlorocyanus,4.275448057,3.071276189,2.483582244,2.164471791,3.078666724,2.997201782,2.772846042,2.737951606,2.632988531,2.144898758,2.538772612,0.701640422,2.527045424,2.253950799,1.976365995,0.523683779,2.030853563,1.960011931,3.733464342,3.325930515,4.26044853,4.956694725
christophei,3.884651809,2.69607401,2.115308423,1.779180687,2.65354373,2.581784864,2.37815628,2.520457634,2.448353803,1.994117053,2.387057535,-0.012217184,2.343109901,2.162255132,1.867065703,-0.125401267,1.575733386,1.445068532,3.531811861,2.984972989,3.85138282,4.493765131
clivicola,3.758726128,2.629187353,2.022540448,1.832781444,2.59478818,2.500308267,2.31599478,2.410878803,2.332750507,1.845102744,2.134905813,-0.097061713,2.029627416,1.850224899,1.503521687,-0.251671635,1.527956671,1.266595429,3.264207299,2.855383468,3.749688535,4.592595023
coelestinus,4.297965447,3.127637344,2.534057499,2.253681286,3.122445017,3.046555003,2.820404386,2.778141459,2.678278043,2.197628536,2.563339671,0.76038093,2.575730196,2.326567919,1.956760165,0.582723363,2.148055554,2.055986799,3.741829172,3.208536442,4.264098004,5.010381815
